Path,Type,Size
/home/valery/PycharmProjects/basic-python/main.py,File,528
/home/valery/PycharmProjects/basic-python/homeworks,Directory,33099
/home/valery/PycharmProjects/basic-python/.git,Directory,7971708
/home/valery/PycharmProjects/basic-python/seminars,Directory,123597103
/home/valery/PycharmProjects/basic-python/venv,Directory,32195305
/home/valery/PycharmProjects/basic-python/cheat_sheets,Directory,0
/home/valery/PycharmProjects/basic-python/lectures,Directory,1611
/home/valery/PycharmProjects/basic-python/.idea,Directory,7330
/home/valery/PycharmProjects/basic-python/homeworks/homework_6,Directory,2911
/home/valery/PycharmProjects/basic-python/homeworks/homework_8,Directory,1850
/home/valery/PycharmProjects/basic-python/homeworks/homework_7,Directory,3306
/home/valery/PycharmProjects/basic-python/homeworks/homework_2,Directory,2138
/home/valery/PycharmProjects/basic-python/homeworks/homework_4,Directory,6471
/home/valery/PycharmProjects/basic-python/homeworks/homework_1,Directory,4114
/home/valery/PycharmProjects/basic-python/homeworks/homework_3,Directory,7756
/home/valery/PycharmProjects/basic-python/homeworks/homework_5,Directory,4553
/home/valery/PycharmProjects/basic-python/homeworks/homework_6/task_1.py,File,850
/home/valery/PycharmProjects/basic-python/homeworks/homework_6/task_3.py,File,1145
/home/valery/PycharmProjects/basic-python/homeworks/homework_6/task_2.py,File,916
/home/valery/PycharmProjects/basic-python/homeworks/homework_8/task_1.py,File,1850
/home/valery/PycharmProjects/basic-python/homeworks/homework_7/file_renamer.py,File,2719
/home/valery/PycharmProjects/basic-python/homeworks/homework_7/__init__.py,File,29
/home/valery/PycharmProjects/basic-python/homeworks/homework_7/test.py,File,558
/home/valery/PycharmProjects/basic-python/homeworks/homework_7/test_folder,Directory,0
/home/valery/PycharmProjects/basic-python/homeworks/homework_7/test_folder/new_file_001.doc,File,0
/home/valery/PycharmProjects/basic-python/homeworks/homework_2/task_1.py,File,788
/home/valery/PycharmProjects/basic-python/homeworks/homework_2/task_2.py,File,1350
/home/valery/PycharmProjects/basic-python/homeworks/homework_4/task_1.py,File,329
/home/valery/PycharmProjects/basic-python/homeworks/homework_4/task_3.py,File,5768
/home/valery/PycharmProjects/basic-python/homeworks/homework_4/task_2.py,File,374
/home/valery/PycharmProjects/basic-python/homeworks/homework_1/task_1.py,File,1464
/home/valery/PycharmProjects/basic-python/homeworks/homework_1/task_3.py,File,1252
/home/valery/PycharmProjects/basic-python/homeworks/homework_1/task_2.py,File,1398
/home/valery/PycharmProjects/basic-python/homeworks/homework_3/task_4.py,File,249
/home/valery/PycharmProjects/basic-python/homeworks/homework_3/task_3_3.py,File,4146
/home/valery/PycharmProjects/basic-python/homeworks/homework_3/task_1.py,File,322
/home/valery/PycharmProjects/basic-python/homeworks/homework_3/task_3_2.py,File,946
/home/valery/PycharmProjects/basic-python/homeworks/homework_3/task_3.py,File,1074
/home/valery/PycharmProjects/basic-python/homeworks/homework_3/task_2.py,File,1019
/home/valery/PycharmProjects/basic-python/homeworks/homework_5/task_1.py,File,2925
/home/valery/PycharmProjects/basic-python/homeworks/homework_5/task_3.py,File,196
/home/valery/PycharmProjects/basic-python/homeworks/homework_5/task_2.py,File,1432
/home/valery/PycharmProjects/basic-python/.git/HEAD,File,21
/home/valery/PycharmProjects/basic-python/.git/description,File,73
/home/valery/PycharmProjects/basic-python/.git/config,File,213
/home/valery/PycharmProjects/basic-python/.git/index,File,935194
/home/valery/PycharmProjects/basic-python/.git/COMMIT_EDITMSG,File,11
/home/valery/PycharmProjects/basic-python/.git/hooks,Directory,23442
/home/valery/PycharmProjects/basic-python/.git/branches,Directory,0
/home/valery/PycharmProjects/basic-python/.git/refs,Directory,82
/home/valery/PycharmProjects/basic-python/.git/info,Directory,240
/home/valery/PycharmProjects/basic-python/.git/objects,Directory,7006160
/home/valery/PycharmProjects/basic-python/.git/logs,Directory,6272
/home/valery/PycharmProjects/basic-python/.git/hooks/push-to-checkout.sample,File,2783
/home/valery/PycharmProjects/basic-python/.git/hooks/pre-merge-commit.sample,File,416
/home/valery/PycharmProjects/basic-python/.git/hooks/update.sample,File,3650
/home/valery/PycharmProjects/basic-python/.git/hooks/post-update.sample,File,189
/home/valery/PycharmProjects/basic-python/.git/hooks/pre-rebase.sample,File,4898
/home/valery/PycharmProjects/basic-python/.git/hooks/commit-msg.sample,File,896
/home/valery/PycharmProjects/basic-python/.git/hooks/pre-push.sample,File,1374
/home/valery/PycharmProjects/basic-python/.git/hooks/pre-applypatch.sample,File,424
/home/valery/PycharmProjects/basic-python/.git/hooks/fsmonitor-watchman.sample,File,4655
/home/valery/PycharmProjects/basic-python/.git/hooks/applypatch-msg.sample,File,478
/home/valery/PycharmProjects/basic-python/.git/hooks/pre-commit.sample,File,1643
/home/valery/PycharmProjects/basic-python/.git/hooks/prepare-commit-msg.sample,File,1492
/home/valery/PycharmProjects/basic-python/.git/hooks/pre-receive.sample,File,544
/home/valery/PycharmProjects/basic-python/.git/refs/remotes,Directory,41
/home/valery/PycharmProjects/basic-python/.git/refs/tags,Directory,0
/home/valery/PycharmProjects/basic-python/.git/refs/heads,Directory,41
/home/valery/PycharmProjects/basic-python/.git/refs/remotes/origin,Directory,41
/home/valery/PycharmProjects/basic-python/.git/refs/remotes/origin/main,File,41
/home/valery/PycharmProjects/basic-python/.git/refs/heads/main,File,41
/home/valery/PycharmProjects/basic-python/.git/info/exclude,File,240
/home/valery/PycharmProjects/basic-python/.git/objects/5a,Directory,77
/home/valery/PycharmProjects/basic-python/.git/objects/48,Directory,24907
/home/valery/PycharmProjects/basic-python/.git/objects/4f,Directory,5888
/home/valery/PycharmProjects/basic-python/.git/objects/59,Directory,4450
/home/valery/PycharmProjects/basic-python/.git/objects/20,Directory,7166
/home/valery/PycharmProjects/basic-python/.git/objects/d7,Directory,28449
/home/valery/PycharmProjects/basic-python/.git/objects/6b,Directory,6337
/home/valery/PycharmProjects/basic-python/.git/objects/7e,Directory,117264
/home/valery/PycharmProjects/basic-python/.git/objects/52,Directory,7355
/home/valery/PycharmProjects/basic-python/.git/objects/ea,Directory,36379
/home/valery/PycharmProjects/basic-python/.git/objects/e8,Directory,9765
/home/valery/PycharmProjects/basic-python/.git/objects/62,Directory,3638
/home/valery/PycharmProjects/basic-python/.git/objects/ae,Directory,18404
/home/valery/PycharmProjects/basic-python/.git/objects/45,Directory,6843
/home/valery/PycharmProjects/basic-python/.git/objects/pack,Directory,0
/home/valery/PycharmProjects/basic-python/.git/objects/80,Directory,4384
/home/valery/PycharmProjects/basic-python/.git/objects/49,Directory,2986
/home/valery/PycharmProjects/basic-python/.git/objects/6c,Directory,4427
/home/valery/PycharmProjects/basic-python/.git/objects/3a,Directory,12146
/home/valery/PycharmProjects/basic-python/.git/objects/01,Directory,9405
/home/valery/PycharmProjects/basic-python/.git/objects/dd,Directory,40096
/home/valery/PycharmProjects/basic-python/.git/objects/11,Directory,14910
/home/valery/PycharmProjects/basic-python/.git/objects/98,Directory,11754
/home/valery/PycharmProjects/basic-python/.git/objects/38,Directory,37822
/home/valery/PycharmProjects/basic-python/.git/objects/ce,Directory,23772
/home/valery/PycharmProjects/basic-python/.git/objects/ed,Directory,35122
/home/valery/PycharmProjects/basic-python/.git/objects/4a,Directory,32874
/home/valery/PycharmProjects/basic-python/.git/objects/3c,Directory,43433
/home/valery/PycharmProjects/basic-python/.git/objects/46,Directory,6573
/home/valery/PycharmProjects/basic-python/.git/objects/2e,Directory,34205
/home/valery/PycharmProjects/basic-python/.git/objects/a5,Directory,1007
/home/valery/PycharmProjects/basic-python/.git/objects/35,Directory,12410
/home/valery/PycharmProjects/basic-python/.git/objects/8d,Directory,11588
/home/valery/PycharmProjects/basic-python/.git/objects/c8,Directory,5501
/home/valery/PycharmProjects/basic-python/.git/objects/18,Directory,76627
/home/valery/PycharmProjects/basic-python/.git/objects/53,Directory,921
/home/valery/PycharmProjects/basic-python/.git/objects/7f,Directory,667
/home/valery/PycharmProjects/basic-python/.git/objects/8b,Directory,7294
/home/valery/PycharmProjects/basic-python/.git/objects/9b,Directory,14898
/home/valery/PycharmProjects/basic-python/.git/objects/ca,Directory,14305
/home/valery/PycharmProjects/basic-python/.git/objects/8a,Directory,3977
/home/valery/PycharmProjects/basic-python/.git/objects/5f,Directory,26952
/home/valery/PycharmProjects/basic-python/.git/objects/2d,Directory,8204
/home/valery/PycharmProjects/basic-python/.git/objects/0b,Directory,17278
/home/valery/PycharmProjects/basic-python/.git/objects/03,Directory,14711
/home/valery/PycharmProjects/basic-python/.git/objects/51,Directory,3700
/home/valery/PycharmProjects/basic-python/.git/objects/21,Directory,6134
/home/valery/PycharmProjects/basic-python/.git/objects/be,Directory,2002
/home/valery/PycharmProjects/basic-python/.git/objects/4c,Directory,43857
/home/valery/PycharmProjects/basic-python/.git/objects/72,Directory,2692
/home/valery/PycharmProjects/basic-python/.git/objects/aa,Directory,12266
/home/valery/PycharmProjects/basic-python/.git/objects/ad,Directory,14137
/home/valery/PycharmProjects/basic-python/.git/objects/61,Directory,22499
/home/valery/PycharmProjects/basic-python/.git/objects/cf,Directory,67858
/home/valery/PycharmProjects/basic-python/.git/objects/b1,Directory,44259
/home/valery/PycharmProjects/basic-python/.git/objects/b9,Directory,19615
/home/valery/PycharmProjects/basic-python/.git/objects/e6,Directory,16723
/home/valery/PycharmProjects/basic-python/.git/objects/67,Directory,58437
/home/valery/PycharmProjects/basic-python/.git/objects/56,Directory,8997
/home/valery/PycharmProjects/basic-python/.git/objects/16,Directory,4595
/home/valery/PycharmProjects/basic-python/.git/objects/44,Directory,6029
/home/valery/PycharmProjects/basic-python/.git/objects/f1,Directory,4050
/home/valery/PycharmProjects/basic-python/.git/objects/7c,Directory,297
/home/valery/PycharmProjects/basic-python/.git/objects/d1,Directory,3087
/home/valery/PycharmProjects/basic-python/.git/objects/39,Directory,2688
/home/valery/PycharmProjects/basic-python/.git/objects/f7,Directory,13143
/home/valery/PycharmProjects/basic-python/.git/objects/73,Directory,10494
/home/valery/PycharmProjects/basic-python/.git/objects/eb,Directory,4635
/home/valery/PycharmProjects/basic-python/.git/objects/7d,Directory,13577
/home/valery/PycharmProjects/basic-python/.git/objects/d2,Directory,10909
/home/valery/PycharmProjects/basic-python/.git/objects/6d,Directory,160507
/home/valery/PycharmProjects/basic-python/.git/objects/d9,Directory,20850
/home/valery/PycharmProjects/basic-python/.git/objects/1e,Directory,16364
/home/valery/PycharmProjects/basic-python/.git/objects/09,Directory,3230
/home/valery/PycharmProjects/basic-python/.git/objects/e0,Directory,21784
/home/valery/PycharmProjects/basic-python/.git/objects/84,Directory,6313
/home/valery/PycharmProjects/basic-python/.git/objects/fa,Directory,7469
/home/valery/PycharmProjects/basic-python/.git/objects/58,Directory,9715
/home/valery/PycharmProjects/basic-python/.git/objects/23,Directory,9589
/home/valery/PycharmProjects/basic-python/.git/objects/96,Directory,12142
/home/valery/PycharmProjects/basic-python/.git/objects/a3,Directory,12355
/home/valery/PycharmProjects/basic-python/.git/objects/83,Directory,20042
/home/valery/PycharmProjects/basic-python/.git/objects/79,Directory,2656
/home/valery/PycharmProjects/basic-python/.git/objects/fb,Directory,14137
/home/valery/PycharmProjects/basic-python/.git/objects/3e,Directory,7667
/home/valery/PycharmProjects/basic-python/.git/objects/64,Directory,529
/home/valery/PycharmProjects/basic-python/.git/objects/c2,Directory,4212
/home/valery/PycharmProjects/basic-python/.git/objects/85,Directory,4678
/home/valery/PycharmProjects/basic-python/.git/objects/4b,Directory,3304
/home/valery/PycharmProjects/basic-python/.git/objects/e9,Directory,27971
/home/valery/PycharmProjects/basic-python/.git/objects/f9,Directory,1790
/home/valery/PycharmProjects/basic-python/.git/objects/af,Directory,9379
/home/valery/PycharmProjects/basic-python/.git/objects/0a,Directory,630
/home/valery/PycharmProjects/basic-python/.git/objects/12,Directory,14310
/home/valery/PycharmProjects/basic-python/.git/objects/ab,Directory,236
/home/valery/PycharmProjects/basic-python/.git/objects/c5,Directory,13992
/home/valery/PycharmProjects/basic-python/.git/objects/a1,Directory,14199
/home/valery/PycharmProjects/basic-python/.git/objects/68,Directory,3814
/home/valery/PycharmProjects/basic-python/.git/objects/f2,Directory,932
/home/valery/PycharmProjects/basic-python/.git/objects/de,Directory,15134
/home/valery/PycharmProjects/basic-python/.git/objects/32,Directory,7843
/home/valery/PycharmProjects/basic-python/.git/objects/34,Directory,36126
/home/valery/PycharmProjects/basic-python/.git/objects/f6,Directory,137
/home/valery/PycharmProjects/basic-python/.git/objects/4d,Directory,9612
/home/valery/PycharmProjects/basic-python/.git/objects/88,Directory,1032
/home/valery/PycharmProjects/basic-python/.git/objects/81,Directory,1792
/home/valery/PycharmProjects/basic-python/.git/objects/19,Directory,1025
/home/valery/PycharmProjects/basic-python/.git/objects/d3,Directory,13378
/home/valery/PycharmProjects/basic-python/.git/objects/ac,Directory,15813
/home/valery/PycharmProjects/basic-python/.git/objects/a4,Directory,13459
/home/valery/PycharmProjects/basic-python/.git/objects/36,Directory,10754
/home/valery/PycharmProjects/basic-python/.git/objects/86,Directory,20433
/home/valery/PycharmProjects/basic-python/.git/objects/0d,Directory,5115
/home/valery/PycharmProjects/basic-python/.git/objects/69,Directory,20153
/home/valery/PycharmProjects/basic-python/.git/objects/d5,Directory,41009
/home/valery/PycharmProjects/basic-python/.git/objects/bd,Directory,3512
/home/valery/PycharmProjects/basic-python/.git/objects/13,Directory,9225
/home/valery/PycharmProjects/basic-python/.git/objects/54,Directory,2981
/home/valery/PycharmProjects/basic-python/.git/objects/0e,Directory,29988
/home/valery/PycharmProjects/basic-python/.git/objects/fc,Directory,8932
/home/valery/PycharmProjects/basic-python/.git/objects/17,Directory,6001
/home/valery/PycharmProjects/basic-python/.git/objects/9c,Directory,3461
/home/valery/PycharmProjects/basic-python/.git/objects/25,Directory,25587
/home/valery/PycharmProjects/basic-python/.git/objects/b5,Directory,15202
/home/valery/PycharmProjects/basic-python/.git/objects/3f,Directory,18775
/home/valery/PycharmProjects/basic-python/.git/objects/76,Directory,12440
/home/valery/PycharmProjects/basic-python/.git/objects/b3,Directory,17111
/home/valery/PycharmProjects/basic-python/.git/objects/b8,Directory,4295
/home/valery/PycharmProjects/basic-python/.git/objects/b2,Directory,26445
/home/valery/PycharmProjects/basic-python/.git/objects/c6,Directory,18244
/home/valery/PycharmProjects/basic-python/.git/objects/82,Directory,33940
/home/valery/PycharmProjects/basic-python/.git/objects/50,Directory,2618
/home/valery/PycharmProjects/basic-python/.git/objects/da,Directory,19300
/home/valery/PycharmProjects/basic-python/.git/objects/92,Directory,9174
/home/valery/PycharmProjects/basic-python/.git/objects/7a,Directory,70156
/home/valery/PycharmProjects/basic-python/.git/objects/94,Directory,10033
/home/valery/PycharmProjects/basic-python/.git/objects/6e,Directory,8863
/home/valery/PycharmProjects/basic-python/.git/objects/00,Directory,8471
/home/valery/PycharmProjects/basic-python/.git/objects/f4,Directory,28489
/home/valery/PycharmProjects/basic-python/.git/objects/db,Directory,27667
/home/valery/PycharmProjects/basic-python/.git/objects/info,Directory,0
/home/valery/PycharmProjects/basic-python/.git/objects/2a,Directory,3322
/home/valery/PycharmProjects/basic-python/.git/objects/5e,Directory,24384
/home/valery/PycharmProjects/basic-python/.git/objects/c7,Directory,29247
/home/valery/PycharmProjects/basic-python/.git/objects/0c,Directory,1042
/home/valery/PycharmProjects/basic-python/.git/objects/41,Directory,2990
/home/valery/PycharmProjects/basic-python/.git/objects/6f,Directory,1921
/home/valery/PycharmProjects/basic-python/.git/objects/90,Directory,11070
/home/valery/PycharmProjects/basic-python/.git/objects/df,Directory,2616
/home/valery/PycharmProjects/basic-python/.git/objects/ef,Directory,5520
/home/valery/PycharmProjects/basic-python/.git/objects/15,Directory,16751
/home/valery/PycharmProjects/basic-python/.git/objects/5c,Directory,12534
/home/valery/PycharmProjects/basic-python/.git/objects/2f,Directory,1953
/home/valery/PycharmProjects/basic-python/.git/objects/43,Directory,17753
/home/valery/PycharmProjects/basic-python/.git/objects/a9,Directory,56
/home/valery/PycharmProjects/basic-python/.git/objects/cc,Directory,35167
/home/valery/PycharmProjects/basic-python/.git/objects/89,Directory,12487
/home/valery/PycharmProjects/basic-python/.git/objects/07,Directory,18385
/home/valery/PycharmProjects/basic-python/.git/objects/2c,Directory,2537
/home/valery/PycharmProjects/basic-python/.git/objects/55,Directory,29777
/home/valery/PycharmProjects/basic-python/.git/objects/47,Directory,21384
/home/valery/PycharmProjects/basic-python/.git/objects/14,Directory,5014
/home/valery/PycharmProjects/basic-python/.git/objects/42,Directory,1070
/home/valery/PycharmProjects/basic-python/.git/objects/75,Directory,9960
/home/valery/PycharmProjects/basic-python/.git/objects/08,Directory,25785
/home/valery/PycharmProjects/basic-python/.git/objects/c4,Directory,6204
/home/valery/PycharmProjects/basic-python/.git/objects/b0,Directory,10076
/home/valery/PycharmProjects/basic-python/.git/objects/3b,Directory,10340
/home/valery/PycharmProjects/basic-python/.git/objects/b4,Directory,33668
/home/valery/PycharmProjects/basic-python/.git/objects/06,Directory,7617
