INFO:__main__:File(name='loggingINFO_task_3', extension='.log', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='task_4', extension='.py', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='loggingINFO_task_2', extension='', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='loggingINFO_task_6', extension='.txt', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='loggingErrors', extension='', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='task_1', extension='.py', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='task_6', extension='.py', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='task_3', extension='.py', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='loggingERROR_task_4', extension='.log', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='task_2', extension='.py', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
INFO:__main__:File(name='task_5', extension='.py', dir=False, parent=PosixPath('/home/valery/PycharmProjects/basic-python/seminars/seminar_15'))
